V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
 4013, 6071,13277,17031,22083,36005,36047,45083,48201,48253,48315
Maricopa,San Bernardino,Tift,Cook,Richland,Bronx,Kings,Spartanburg,Harris,Jones,Marion
Arizona,California,Georgia,Illinois,Louisiana,New York,New York,South Carolina,Texas,Texas,Texas
US,US,US,US,US,US,US,US,US,US,US
33.34836,34.84060,31.45744,41.84145,32.41391,40.85209,40.63618,34.92960,29.85865,32.73997,32.79868
-112.49182,-116.17747, -83.52361, -87.81659, -91.76635, -73.86283, -73.94936, -81.99226, -95.39340, -99.87862, -94.35661
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,3,0,0,0,0,0,0,0
1,0,0,4,0,0,0,0,0,0,0
1,0,0,4,0,0,0,0,0,0,0
1,0,0,4,0,0,0,0,0,0,0
1,0,0,5,0,0,1,0,2,0,0
2,0,0,5,0,0,1,0,3,0,0
2,0,0,6,0,0,4,0,5,0,0
2,0,0,7,0,0,4,0,5,0,0
2,0,0,7,0,1,6,1,6,0,0
 2, 0, 0,11, 0, 5, 7, 1, 6, 0, 0
 3, 0, 0,22, 0, 5,14, 1, 7, 0, 0
 3, 0, 0,27, 0, 7,16, 1, 9, 0, 0
 3, 0, 0,40, 0,10,24, 1, 9, 0, 0
 4, 0, 0,50, 0,20,41, 1,11, 0, 0
 4, 0, 0,50, 0,28,58, 1,11, 0, 0
 8, 1, 0,62, 0,57,84, 1,13, 0, 0
  9,  2,  0,107,  0, 86,123,  1, 16,  0,  0
 11,  3,  0,178,  0,209,387,  1, 23,  0,  0
 22,  5,  0,278,  0,363,660,  1, 30,  0,  0
